seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669738294,3,1000,0.05,0.003244245326741853,0.0023077744381622012,0.6963430513561828,0.7032287965394717,0.8163801284456313,0.7886164507514731,0.6326115658062732,0.6675166905378538,0.8095859370245804,0.7796402534561,"[1999, 3148, 4587, 6084, 7560, 9003, 10493, 11493, 12493, 13493, 14897, 16259, 17722, 18722, 19722, 20722, 21933, 23614, 25080, 26080, 27288, 28288, 29288, 30288, 31288, 32288, 33288, 34288, 35288, 36288, 37288, 38288, 39669, 40669, 42418, 43959, 45126]"
1669738499,3,1000,0.005,0.0032663150228421367,0.002257852520481903,0.6963430513561828,0.7032287965394717,0.8139303921784997,0.7845114872768202,0.6326115658062732,0.6675166905378538,0.808072498474841,0.7756627224136455,"[1999, 3168, 4611, 6102, 7580, 9025, 10513, 11513, 12513, 13513, 14922, 16278, 17748, 18748, 19748, 20748, 22090, 23653, 25129, 26129, 27288, 28288, 29288, 30288, 31288, 32337, 33367, 34367, 35367, 36367, 37367, 38367, 39698, 40698, 42418, 44109]"
1669738709,2,100,0.05,0.00034110882437618376,0.0003225264391721063,0.6963430513561828,0.7032287965394717,0.8474542605548322,0.8461080090927148,0.6326115658062732,0.6675166905378538,0.8428387351970112,0.8416941094443599,"[199, 299, 399, 499, 628, 728, 828, 928, 1028, 1128, 1228, 1328, 1428, 1588, 1688, 1788, 1891, 1991, 2093, 2193, 2299, 2399, 2499, 2599, 2699, 2799, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3603, 3703, 3803, 3903, 4005, 4108, 4228, 4328, 4428, 4528, 4630, 4730, 4830, 4930, 5030, 5130, 5276, 5376, 5476, 5576, 5676, 5815, 5915, 6017, 6125, 6244, 6355, 6455, 6555, 6655, 6755, 6855, 7004, 7104, 7207, 7338, 7438, 7538, 7638, 7738, 7838, 7938, 8038, 8138, 8238, 8356, 8457, 8557, 8665, 8765, 8865, 8980, 9080, 9180, 9290, 9390, 9490, 9590, 9690, 9790, 9890, 9990, 10090, 10190, 10290, 10390, 10490, 10607, 10707, 10807, 10907, 11039, 11139, 11239, 11339, 11439, 11539, 11639, 11739, 11839, 11939, 12039, 12139, 12239, 12339, 12439, 12539, 12639, 12739, 12839, 12964, 13064, 13164, 13348, 13448, 13548, 13732, 13832, 13972, 14078, 14178, 14328, 14428, 14528, 14628, 14731, 14831, 14931, 15031, 15131, 15231, 15331, 15431, 15531, 15631, 15748, 15848, 15948, 16048, 16148, 16248, 16348, 16448, 16548, 16662, 16762, 16862, 16974, 17100, 17200, 17300, 17400, 17500, 17600, 17700, 17800, 17900, 18000, 18100, 18200, 18300, 18400, 18500, 18600, 18700, 18800, 18900, 19000, 19108, 19208, 19308, 19408, 19508, 19608, 19708, 19808, 19908, 20008, 20108, 20208, 20308, 20408, 20508, 20608, 20708, 20808, 20908, 21008, 21108, 21208, 21308, 21412, 21512, 21612, 21712, 21812, 21912, 22012, 22112, 22212, 22312, 22412, 22512, 22612, 22712, 22812, 22912, 23012, 23112, 23212, 23312, 23412, 23512, 23612, 23712, 23812, 23912, 24012, 24112, 24212, 24312, 24412, 24512, 24612, 24712, 24812, 24912, 25012, 25112, 25212, 25312, 25412, 25512, 25612, 25712, 25812, 25912, 26012, 26112, 26212, 26312, 26412, 26512, 26612, 26712, 26812, 26912, 27012, 27112, 27212, 27312, 27412, 27512, 27612, 27712, 27812, 27912, 28012, 28112, 28212, 28312, 28412, 28514, 28614, 28714, 28814, 28914, 29014, 29114, 29214, 29314, 29414, 29514, 29614, 29714, 29814, 29914, 30014, 30114, 30214, 30314, 30414, 30514, 30614, 30714, 30814, 30914, 31014, 31114, 31214, 31314, 31414, 31514, 31614, 31714, 31814, 31914, 32014, 32114, 32214, 32314, 32414, 32514, 32614, 32714, 32814, 32914, 33014, 33114, 33214, 33314, 33414, 33514, 33614, 33714, 33814, 33914, 34014, 34114, 34214, 34314, 34414, 34514, 34614, 34714, 34818, 34918, 35018, 35118, 35218, 35318, 35418, 35538, 35638, 35738, 35838, 35938, 36038, 36138, 36238, 36338, 36438, 36538, 36638, 36738, 36838, 36938, 37038, 37138, 37238, 37338, 37438, 37540, 37640, 37740, 37840, 37940, 38040, 38140, 38240, 38340, 38440, 38540, 38640, 38740, 38840, 38940, 39040, 39140, 39240, 39340, 39440, 39540, 39640, 39740, 39840, 39940, 40040, 40140, 40240, 40340, 40440, 40540, 40640, 40740, 40840, 40940, 41040, 41140, 41240, 41340, 41440, 41540, 41640, 41740, 41840, 41940, 42040, 42140, 42240, 42340, 42440, 42540, 42640, 42740, 42840, 42940, 43040, 43140, 43240, 43340, 43440, 43540, 43640, 43740, 43840, 43940, 44040, 44140, 44240, 44340, 44440, 44540, 44640, 44740, 44840, 44940, 45040, 45140, 45240]"
1669738749,2,100,0.005,0.000355002332520494,0.0003447800267258252,0.6963430513561828,0.7032287965394717,0.8457990333473108,0.8483811877910441,0.6326115658062732,0.6675166905378538,0.8411098708995444,0.8438833098711871,"[199, 299, 399, 499, 628, 731, 850, 981, 1081, 1204, 1304, 1432, 1588, 1688, 1788, 1972, 2104, 2204, 2329, 2436, 2596, 2696, 2796, 2932, 3032, 3132, 3316, 3448, 3548, 3663, 3784, 3891, 4032, 4132, 4265, 4365, 4465, 4676, 4790, 4900, 5012, 5120, 5284, 5384, 5484, 5584, 5684, 5815, 5915, 6037, 6137, 6244, 6375, 6475, 6600, 6700, 6800, 7026, 7126, 7226, 7365, 7465, 7588, 7715, 7815, 7972, 8072, 8172, 8356, 8487, 8587, 8687, 8787, 8887, 9001, 9101, 9201, 9364, 9479, 9579, 9714, 9831, 9940, 10058, 10183, 10309, 10414, 10514, 10660, 10760, 10860, 11044, 11170, 11270, 11403, 11503, 11605, 11712, 11812, 11981, 12081, 12182, 12388, 12488, 12588, 12710, 12810, 12910, 13010, 13110, 13210, 13348, 13448, 13548, 13732, 13862, 13972, 14101, 14201, 14356, 14456, 14556, 14656, 14785, 14885, 15013, 15113, 15213, 15364, 15464, 15564, 15748, 15848, 15948, 16048, 16148, 16248, 16372, 16472, 16572, 16756, 16856, 16982, 17105, 17205, 17305, 17448, 17548, 17716, 17816, 17916, 18089, 18189, 18289, 18389, 18489, 18589, 18689, 18789, 18889, 18989, 19108, 19208, 19308, 19412, 19512, 19612, 19712, 19812, 19912, 20023, 20123, 20223, 20323, 20423, 20523, 20623, 20723, 20823, 20923, 21028, 21131, 21231, 21331, 21436, 21536, 21636, 21736, 21836, 21936, 22036, 22136, 22237, 22338, 22438, 22538, 22638, 22738, 22838, 22938, 23038, 23138, 23238, 23338, 23438, 23538, 23638, 23738, 23838, 23938, 24038, 24138, 24238, 24338, 24438, 24538, 24638, 24738, 24838, 24938, 25038, 25138, 25238, 25338, 25438, 25538, 25638, 25738, 25838, 25938, 26038, 26138, 26238, 26338, 26448, 26548, 26648, 26836, 26940, 27040, 27140, 27240, 27340, 27440, 27540, 27640, 27740, 27840, 27940, 28040, 28140, 28240, 28340, 28440, 28540, 28640, 28740, 28840, 28940, 29040, 29140, 29240, 29340, 29440, 29540, 29640, 29740, 29840, 29940, 30040, 30140, 30240, 30340, 30440, 30540, 30640, 30740, 30840, 30940, 31040, 31140, 31240, 31340, 31440, 31540, 31640, 31740, 31840, 31940, 32040, 32140, 32240, 32340, 32440, 32540, 32640, 32740, 32840, 32940, 33040, 33140, 33240, 33340, 33442, 33542, 33642, 33742, 33842, 33942, 34042, 34142, 34242, 34342, 34442, 34542, 34642, 34742, 34852, 34952, 35052, 35152, 35252, 35352, 35452, 35552, 35652, 35752, 35852, 35952, 36052, 36152, 36252, 36352, 36452, 36552, 36652, 36752, 36852, 36952, 37052, 37152, 37252, 37353, 37453, 37553, 37653, 37753, 37858, 37958, 38058, 38158, 38258, 38361, 38461, 38561, 38661, 38761, 38884, 38984, 39084, 39184, 39284, 39384, 39484, 39584, 39684, 39784, 39884, 39984, 40084, 40200, 40300, 40400, 40500, 40600, 40700, 40800, 40900, 41000, 41100, 41200, 41300, 41400, 41500, 41600, 41700, 41800, 41920, 42020, 42120, 42220, 42320, 42420, 42532, 42632, 42732, 42832, 42932, 43032, 43132, 43232, 43332, 43432, 43532, 43632, 43732, 43832, 43932, 44032, 44132, 44232, 44332, 44432, 44532, 44632, 44732, 44832, 44932, 45032, 45132, 45232]"
1669738815,2,250,0.05,0.0006924367151464328,0.0006560718749811903,0.6963430513561828,0.7032287965394717,0.818211913221955,0.8186974465361612,0.6326115658062732,0.6675166905378538,0.8123657960632422,0.8129389332948532,"[499, 749, 999, 1249, 1502, 1752, 2002, 2280, 2530, 2780, 3030, 3280, 3530, 3780, 4030, 4280, 4530, 4780, 5030, 5280, 5530, 5780, 6115, 6365, 6615, 6865, 7115, 7555, 7805, 8055, 8305, 8555, 8805, 9055, 9305, 9555, 9805, 10055, 10483, 10733, 10983, 11233, 11483, 11733, 11983, 12233, 12483, 12733, 12983, 13233, 13483, 13733, 13983, 14233, 14483, 14803, 15053, 15303, 15553, 15803, 16053, 16303, 16553, 16803, 17062, 17312, 17615, 17865, 18115, 18365, 18615, 18865, 19115, 19365, 19615, 19865, 20115, 20365, 20627, 20877, 21127, 21377, 21627, 21877, 22148, 22398, 22648, 22898, 23148, 23398, 23682, 23932, 24182, 24432, 24682, 24932, 25182, 25432, 25682, 25932, 26182, 26575, 26825, 27075, 27325, 27575, 27825, 28075, 28325, 28575, 28825, 29075, 29325, 29575, 29825, 30075, 30325, 30575, 30825, 31075, 31325, 31575, 31825, 32075, 32371, 32621, 32871, 33121, 33371, 33621, 33871, 34121, 34371, 34621, 34871, 35121, 35371, 35621, 35871, 36121, 36371, 36621, 36871, 37121, 37371, 37621, 37871, 38121, 38371, 38621, 38871, 39121, 39371, 39656, 39906, 40156, 40406, 40656, 40906, 41156, 41406, 41656, 41906, 42156, 42406, 42656, 42906, 43156, 43406, 43656, 43906, 44156, 44406, 44656, 44906, 45156]"
1669738855,2,250,0.005,0.0007676075365530973,0.0007097562029884458,0.6963430513561828,0.7032287965394717,0.8260687250336562,0.823177594844519,0.6326115658062732,0.6675166905378538,0.8204839333234413,0.8179852599919373,"[499, 774, 1024, 1274, 1543, 1793, 2043, 2313, 2563, 2813, 3139, 3389, 3639, 3889, 4139, 4627, 4877, 5139, 5389, 5639, 5910, 6160, 6485, 6735, 6989, 7239, 7555, 7805, 8055, 8310, 8560, 9043, 9293, 9543, 9847, 10097, 10520, 10770, 11043, 11293, 11543, 11971, 12221, 12512, 12762, 13012, 13298, 13548, 13798, 14048, 14298, 14548, 14889, 15139, 15389, 15639, 15889, 16291, 16568, 16905, 17232, 17482, 17732, 17982, 18232, 18482, 18732, 18982, 19267, 19517, 19767, 20017, 20267, 20671, 20921, 21171, 21421, 21671, 21921, 22195, 22445, 22695, 22945, 23195, 23445, 23695, 23945, 24195, 24445, 24695, 24945, 25195, 25445, 25695, 25945, 26195, 26611, 26861, 27111, 27361, 27611, 28051, 28301, 28551, 28801, 29051, 29301, 29551, 29801, 30051, 30301, 30551, 30801, 31051, 31301, 31551, 31801, 32051, 32301, 32551, 32801, 33051, 33301, 33551, 33801, 34051, 34301, 34551, 34801, 35051, 35301, 35551, 35801, 36051, 36301, 36551, 36801, 37051, 37301, 37551, 37801, 38227, 38477, 38727, 38977, 39227, 39477, 39727, 39977, 40227, 40477, 40727, 41058, 41308, 41558, 41808, 42058, 42308, 42558, 42808, 43058, 43308, 43558, 43808, 44131, 44381, 44631, 44881, 45131]"
1669738917,2,500,0.05,0.001531189928172917,0.0012970835315648335,0.6963430513561828,0.7032287965394717,0.8173070556818433,0.8056983955330935,0.6326115658062732,0.6675166905378538,0.8109371605132979,0.7987505786226703,"[999, 1499, 2199, 2699, 3790, 4290, 5127, 5627, 6127, 6737, 7237, 8055, 8555, 9055, 9555, 10055, 11421, 11921, 12519, 13019, 13961, 14461, 15303, 15803, 16303, 16803, 17303, 17924, 18424, 18924, 19424, 19924, 20424, 21165, 21665, 22165, 22695, 23195, 23695, 24195, 24695, 25195, 25695, 26195, 26990, 27490, 27990, 28551, 29051, 29551, 30051, 30551, 31051, 31551, 32051, 32551, 33051, 33551, 34051, 34551, 35051, 35551, 36051, 36984, 37484, 37984, 38727, 39227, 39727, 40227, 40727, 41634, 42134, 42634, 43143, 43643, 44143, 44643, 45143]"
1669739025,2,500,0.005,0.0017494963380068537,0.0014149828014011101,0.6963430513561828,0.7032287965394717,0.8188077950166626,0.8022775926375494,0.6326115658062732,0.6675166905378538,0.8122037368668377,0.7942725116399911,"[1204, 1704, 2320, 2820, 4134, 4634, 5622, 6122, 7058, 7558, 8548, 9048, 9987, 10487, 11472, 11972, 12962, 13462, 14310, 14810, 15792, 16292, 17237, 17737, 18237, 18770, 19270, 20210, 20710, 21210, 21710, 22210, 23161, 23661, 24187, 24687, 25187, 25687, 26187, 27132, 27632, 28574, 29074, 29734, 30234, 30734, 31559, 32059, 32559, 33119, 33619, 34145, 34645, 35145, 35645, 36145, 36984, 37484, 37984, 38833, 39333, 40215, 40715, 41635, 42135, 42635, 43143, 43643, 44143, 44982]"
1669739200,2,1000,0.05,0.0032603502401123284,0.002282722350697015,0.6963430513561828,0.7032287965394717,0.816976010240339,0.7876895235152612,0.6326115658062732,0.6675166905378538,0.810179227290981,0.7785874055535909,"[1999, 3144, 4582, 6079, 7556, 8999, 10489, 11489, 12489, 13489, 14889, 16256, 17719, 18719, 19719, 20719, 21925, 23611, 25075, 26075, 27288, 28288, 29288, 30288, 31288, 32288, 33288, 34288, 35288, 36288, 37288, 38288, 39661, 40661, 42418, 43952, 45119]"
1669739376,2,1000,0.005,0.003264475881500445,0.002271952604101531,0.6963430513561828,0.7032287965394717,0.8138641830901988,0.7850190902871268,0.6326115658062732,0.6675166905378538,0.8077835966861155,0.7760578452628184,"[1999, 3168, 4611, 6099, 7579, 9022, 10511, 11511, 12511, 13511, 14921, 16278, 17747, 18747, 19747, 20747, 22078, 23650, 25128, 26128, 27288, 28288, 29288, 30288, 31288, 32316, 33330, 34330, 35330, 36330, 37330, 38330, 39694, 40694, 42418, 44107]"
1669739562,3,100,0.05,0.0003408709911379588,0.0003219757033808657,0.6963430513561828,0.7032287965394717,0.8456445454746088,0.8442541546202909,0.6326115658062732,0.6675166905378538,0.8408995837418166,0.8398716737829461,"[199, 299, 399, 499, 628, 728, 844, 944, 1044, 1144, 1244, 1344, 1444, 1588, 1688, 1788, 1972, 2094, 2194, 2299, 2399, 2499, 2599, 2699, 2799, 2932, 3032, 3132, 3263, 3363, 3463, 3563, 3663, 3775, 3875, 3975, 4075, 4175, 4275, 4375, 4475, 4633, 4733, 4833, 4933, 5033, 5133, 5276, 5376, 5476, 5576, 5676, 5815, 5915, 6018, 6125, 6244, 6357, 6457, 6557, 6657, 6757, 6857, 7004, 7104, 7207, 7338, 7438, 7538, 7638, 7738, 7838, 7938, 8038, 8138, 8238, 8356, 8457, 8557, 8667, 8767, 8867, 8980, 9080, 9180, 9299, 9399, 9499, 9599, 9699, 9799, 9940, 10048, 10183, 10303, 10403, 10503, 10607, 10707, 10807, 10907, 11039, 11139, 11239, 11342, 11442, 11542, 11642, 11742, 11842, 11942, 12042, 12142, 12247, 12388, 12488, 12588, 12703, 12803, 12903, 13003, 13103, 13203, 13348, 13448, 13548, 13732, 13832, 13972, 14078, 14178, 14356, 14456, 14556, 14656, 14756, 14856, 14980, 15085, 15185, 15285, 15389, 15489, 15607, 15748, 15848, 15948, 16048, 16148, 16248, 16363, 16463, 16563, 16756, 16856, 16975, 17102, 17202, 17302, 17402, 17502, 17602, 17702, 17802, 17902, 18002, 18102, 18202, 18313, 18413, 18513, 18613, 18713, 18813, 18913, 19013, 19113, 19213, 19313, 19413, 19513, 19613, 19713, 19813, 19913, 20013, 20113, 20213, 20313, 20413, 20513, 20613, 20713, 20813, 20913, 21013, 21113, 21213, 21313, 21413, 21513, 21613, 21713, 21813, 21913, 22013, 22113, 22213, 22313, 22413, 22513, 22613, 22723, 22823, 22923, 23023, 23123, 23223, 23323, 23423, 23523, 23623, 23723, 23823, 23923, 24023, 24123, 24223, 24323, 24423, 24523, 24623, 24723, 24823, 24923, 25023, 25123, 25223, 25323, 25423, 25523, 25623, 25723, 25823, 25923, 26023, 26123, 26223, 26323, 26423, 26523, 26623, 26723, 26823, 26923, 27023, 27123, 27223, 27323, 27423, 27523, 27623, 27723, 27823, 27923, 28023, 28123, 28223, 28323, 28423, 28523, 28623, 28723, 28823, 28923, 29023, 29123, 29223, 29323, 29423, 29523, 29623, 29723, 29823, 29923, 30023, 30123, 30223, 30323, 30423, 30523, 30623, 30723, 30823, 30923, 31023, 31123, 31223, 31323, 31423, 31523, 31623, 31723, 31823, 31923, 32023, 32123, 32223, 32323, 32423, 32523, 32623, 32723, 32823, 32923, 33023, 33123, 33223, 33323, 33423, 33523, 33623, 33723, 33823, 33923, 34023, 34123, 34223, 34323, 34423, 34523, 34623, 34723, 34823, 34923, 35023, 35123, 35223, 35323, 35423, 35539, 35639, 35739, 35839, 35939, 36039, 36139, 36239, 36339, 36439, 36539, 36639, 36739, 36839, 36939, 37039, 37139, 37239, 37339, 37439, 37540, 37640, 37740, 37840, 37940, 38040, 38140, 38240, 38340, 38440, 38540, 38640, 38740, 38840, 38940, 39040, 39140, 39253, 39353, 39453, 39553, 39653, 39753, 39853, 39953, 40053, 40153, 40253, 40353, 40453, 40564, 40664, 40764, 40864, 40964, 41064, 41164, 41264, 41364, 41464, 41564, 41664, 41764, 41864, 41964, 42064, 42164, 42264, 42364, 42464, 42564, 42664, 42764, 42864, 42964, 43064, 43164, 43264, 43364, 43464, 43564, 43664, 43764, 43864, 43964, 44064, 44164, 44264, 44364, 44464, 44564, 44664, 44764, 44864, 44964, 45064, 45164, 45264]"
1669739613,3,100,0.005,0.00036163232614811185,0.0003481869530384721,0.6963430513561828,0.7032287965394717,0.8453355697292049,0.8466818211913222,0.6326115658062732,0.6675166905378538,0.840611119456863,0.8422364079997304,"[199, 299, 399, 628, 731, 851, 981, 1081, 1204, 1304, 1433, 1588, 1688, 1788, 1972, 2105, 2205, 2331, 2437, 2596, 2696, 2932, 3032, 3175, 3316, 3449, 3549, 3665, 3785, 3891, 4036, 4136, 4266, 4366, 4466, 4694, 4794, 4900, 5013, 5121, 5284, 5384, 5527, 5627, 5727, 5895, 6050, 6150, 6281, 6387, 6487, 6612, 6712, 6812, 7048, 7148, 7255, 7371, 7471, 7588, 7730, 7830, 7972, 8072, 8172, 8356, 8488, 8588, 8688, 8821, 8980, 9080, 9180, 9364, 9480, 9580, 9714, 9832, 9940, 10060, 10183, 10310, 10420, 10520, 10660, 10760, 10860, 11044, 11170, 11270, 11404, 11504, 11607, 11712, 11812, 12004, 12104, 12247, 12388, 12488, 12588, 12710, 12810, 12910, 13010, 13110, 13210, 13348, 13448, 13591, 13732, 13863, 13972, 14104, 14204, 14356, 14456, 14556, 14656, 14788, 14888, 15014, 15122, 15222, 15364, 15464, 15607, 15748, 15848, 16023, 16130, 16230, 16372, 16472, 16615, 16756, 16856, 16982, 17106, 17223, 17323, 17454, 17554, 17716, 17816, 17916, 18089, 18189, 18289, 18389, 18489, 18589, 18689, 18789, 18889, 18989, 19108, 19208, 19309, 19458, 19558, 19684, 19789, 19889, 20023, 20123, 20223, 20323, 20436, 20536, 20636, 20736, 20836, 20936, 21049, 21149, 21249, 21367, 21467, 21567, 21667, 21767, 21867, 21967, 22067, 22167, 22267, 22372, 22472, 22572, 22738, 22838, 22938, 23038, 23138, 23238, 23338, 23438, 23538, 23638, 23738, 23838, 23938, 24038, 24138, 24238, 24338, 24438, 24538, 24638, 24738, 24838, 24938, 25038, 25138, 25238, 25338, 25438, 25538, 25638, 25738, 25838, 25938, 26038, 26138, 26238, 26338, 26448, 26548, 26648, 26836, 26940, 27040, 27140, 27240, 27340, 27440, 27540, 27640, 27740, 27840, 27940, 28040, 28140, 28240, 28340, 28440, 28540, 28640, 28740, 28840, 28940, 29040, 29140, 29240, 29340, 29440, 29540, 29640, 29740, 29841, 29941, 30041, 30141, 30241, 30341, 30441, 30541, 30641, 30741, 30846, 30946, 31046, 31146, 31246, 31346, 31446, 31553, 31653, 31753, 31853, 31953, 32053, 32153, 32253, 32353, 32453, 32553, 32653, 32753, 32853, 32953, 33053, 33153, 33253, 33353, 33453, 33553, 33653, 33753, 33853, 33953, 34053, 34153, 34253, 34353, 34468, 34578, 34678, 34852, 34952, 35052, 35152, 35252, 35352, 35540, 35640, 35740, 35840, 35940, 36040, 36140, 36244, 36344, 36454, 36554, 36654, 36754, 36854, 36954, 37054, 37154, 37254, 37354, 37454, 37554, 37654, 37754, 37859, 37959, 38059, 38159, 38259, 38361, 38465, 38565, 38665, 38765, 38884, 38984, 39084, 39184, 39284, 39384, 39484, 39584, 39684, 39784, 39884, 39984, 40084, 40200, 40300, 40400, 40500, 40600, 40700, 40800, 40900, 41000, 41100, 41200, 41300, 41400, 41500, 41600, 41700, 41800, 41921, 42021, 42121, 42221, 42321, 42421, 42532, 42636, 42736, 42836, 42940, 43040, 43140, 43240, 43340, 43440, 43540, 43646, 43746, 43846, 43946, 44046, 44146, 44262, 44362, 44462, 44562, 44662, 44762, 44862, 44966, 45066, 45166, 45266]"
1669739700,3,250,0.05,0.0007520185527505055,0.0006983663605067102,0.6963430513561828,0.7032287965394717,0.8271942795347708,0.8247445432676392,0.6326115658062732,0.6675166905378538,0.8218933369950546,0.8197179009174905,"[499, 756, 1006, 1256, 1522, 1772, 2022, 2286, 2536, 2786, 3139, 3389, 3639, 3889, 4139, 4389, 4639, 4889, 5139, 5389, 5639, 5889, 6139, 6389, 6639, 6889, 7139, 7555, 7805, 8055, 8305, 8555, 8805, 9055, 9305, 9555, 9805, 10055, 10508, 10758, 11014, 11264, 11514, 11892, 12142, 12392, 12642, 12892, 13142, 13528, 13778, 14028, 14278, 14528, 14879, 15129, 15379, 15629, 15879, 16291, 16556, 16806, 17069, 17319, 17674, 17924, 18174, 18424, 18674, 18924, 19174, 19424, 19674, 19924, 20174, 20424, 20674, 20924, 21174, 21424, 21674, 21924, 22174, 22424, 22674, 22924, 23174, 23424, 23683, 23933, 24183, 24433, 24683, 24933, 25183, 25433, 25683, 25933, 26183, 26596, 26846, 27096, 27346, 27596, 27846, 28096, 28346, 28596, 28846, 29096, 29346, 29596, 29846, 30096, 30346, 30596, 30846, 31096, 31346, 31596, 31846, 32096, 32371, 32621, 32871, 33121, 33371, 33621, 33871, 34121, 34371, 34621, 34871, 35121, 35371, 35621, 35871, 36121, 36371, 36621, 36871, 37121, 37371, 37621, 37871, 38121, 38371, 38621, 38871, 39121, 39371, 39667, 39917, 40167, 40417, 40667, 40917, 41167, 41417, 41667, 41917, 42167, 42417, 42667, 42917, 43167, 43417, 43667, 43917, 44167, 44417, 44667, 44917, 45167]"
1669739752,3,250,0.005,0.0007795284174088439,0.0007081028554842861,0.6963430513561828,0.7032287965394717,0.824965240228642,0.8200657676943789,0.6326115658062732,0.6675166905378538,0.8193855816448771,0.8145563363906827,"[499, 776, 1112, 1362, 1763, 2015, 2322, 2640, 2890, 3140, 3466, 3803, 4128, 4378, 4628, 4878, 5143, 5482, 5732, 6151, 6487, 6737, 7001, 7251, 7555, 7820, 8169, 8419, 8669, 9043, 9293, 9543, 9849, 10099, 10522, 10858, 11193, 11443, 11693, 11971, 12221, 12522, 12772, 13022, 13543, 13863, 14212, 14462, 14890, 15217, 15467, 15753, 16003, 16291, 16569, 16906, 17232, 17482, 17732, 17982, 18232, 18482, 18732, 18982, 19267, 19582, 19832, 20082, 20332, 20671, 20921, 21171, 21421, 21671, 21921, 22195, 22445, 22695, 22945, 23195, 23445, 23695, 23945, 24195, 24445, 24695, 24945, 25195, 25445, 25695, 25945, 26195, 26611, 26861, 27111, 27361, 27611, 28051, 28301, 28551, 28801, 29051, 29301, 29551, 29801, 30051, 30301, 30551, 30801, 31051, 31301, 31551, 31801, 32051, 32371, 32621, 32871, 33121, 33371, 33621, 33871, 34121, 34371, 34697, 34947, 35197, 35447, 35697, 35947, 36197, 36447, 36709, 36959, 37209, 37459, 37709, 37959, 38227, 38477, 38729, 38979, 39229, 39479, 39729, 39979, 40229, 40479, 40729, 41058, 41308, 41558, 41808, 42058, 42308, 42558, 42808, 43058, 43308, 43558, 43808, 44131, 44393, 44643, 44893, 45143]"
1669739839,3,500,0.05,0.0015339835605906755,0.0012956867153559551,0.6963430513561828,0.7032287965394717,0.8175277526428462,0.8055880470525921,0.6326115658062732,0.6675166905378538,0.8111211358103793,0.7986414147627978,"[999, 1499, 2199, 2699, 3804, 4304, 5127, 5627, 6127, 6749, 7249, 8055, 8555, 9055, 9558, 10058, 11420, 11920, 12541, 13041, 14111, 14611, 15303, 15803, 16303, 16803, 17303, 17924, 18424, 18924, 19424, 19924, 20424, 21166, 21666, 22166, 22695, 23195, 23695, 24195, 24695, 25195, 25695, 26195, 26990, 27490, 27990, 28551, 29051, 29551, 30051, 30551, 31051, 31551, 32051, 32551, 33051, 33551, 34051, 34551, 35051, 35551, 36051, 36984, 37484, 37984, 38727, 39227, 39727, 40227, 40727, 41634, 42134, 42634, 43143, 43643, 44143, 44643, 45143]"
1669739964,3,500,0.005,0.00177440356646289,0.0014212884288583344,0.6963430513561828,0.7032287965394717,0.8205513010085851,0.8027189865595551,0.6326115658062732,0.6675166905378538,0.8139612228481473,0.7947057178434078,"[1204, 1704, 2320, 2820, 4134, 4634, 5622, 6122, 7058, 7558, 8549, 9049, 9987, 10487, 11472, 11972, 12963, 13463, 14310, 14810, 15792, 16292, 17237, 17737, 18237, 18771, 19271, 20211, 20711, 21211, 21711, 22211, 23164, 23664, 24191, 24691, 25191, 25691, 26191, 27136, 27636, 28576, 29076, 29734, 30234, 30734, 31585, 32085, 32585, 33121, 33621, 34215, 34715, 35215, 35715, 36215, 36984, 37484, 37984, 38842, 39342, 40215, 40715, 41635, 42135, 42635, 43143, 43643, 44143, 44984]"
1669740173,3,1000,0.05,0.003244245326741853,0.0023077744381622012,0.6963430513561828,0.7032287965394717,0.8163801284456313,0.7886164507514731,0.6326115658062732,0.6675166905378538,0.8095859370245804,0.7796402534561,"[1999, 3148, 4587, 6084, 7560, 9003, 10493, 11493, 12493, 13493, 14897, 16259, 17722, 18722, 19722, 20722, 21933, 23614, 25080, 26080, 27288, 28288, 29288, 30288, 31288, 32288, 33288, 34288, 35288, 36288, 37288, 38288, 39669, 40669, 42418, 43959, 45126]"
1669740402,3,1000,0.005,0.0032657019757282393,0.0022572394733680057,0.6963430513561828,0.7032287965394717,0.8139083224823994,0.7844894175807199,0.6326115658062732,0.6675166905378538,0.8080451526308474,0.7756417938975549,"[1999, 3168, 4611, 6100, 7580, 9025, 10513, 11513, 12513, 13513, 14922, 16278, 17748, 18748, 19748, 20748, 22090, 23653, 25129, 26129, 27288, 28288, 29288, 30288, 31288, 32337, 33367, 34367, 35367, 36367, 37367, 38367, 39698, 40698, 42418, 44109]"
