seed,n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1663145395,1,10,250,50,0.0007392066049628899,0.000766827827178249,0.17466720451795079,0.1754915200729607,0.48069873897258714,0.4929582405247558,0.16374663491602023,0.16401815595537933,0.48134294747113726,0.49256444785349207,"[507, 568, 1105, 1252, 1406, 1433, 1565, 1680, 2033, 2373, 2444, 2631, 2927, 3207, 3449, 3638, 3840, 3990, 4065, 4214, 4550, 4791, 4855, 5031, 5123, 5267, 5357, 5669, 5858, 5917, 6018, 6237, 6273, 6438, 6660, 6727, 6800, 7205, 7372, 7787, 7915, 8094, 8486, 8576, 8682, 8752, 8828, 8943, 9190, 9279, 9324, 9440, 9563, 9732, 9916, 9960, 10042, 10226, 10316, 10522, 10947, 11046, 11082, 11469, 11909, 12055, 12127, 12272, 12376, 12470, 12585, 12722, 13078, 13187, 13448, 13541, 13765, 13872, 13982, 14144, 14244, 14298, 14429, 14494, 14591, 14820, 14938, 15019, 15065, 15187, 15252, 15314, 15441, 15725, 15911, 16100, 16175, 16363, 16429, 16611, 16618, 16719, 16857, 17124, 17347, 17820, 17859, 17969, 18093, 18274, 18482, 18634, 18791, 18992, 19171, 19297, 19570, 19738, 19831, 19903, 19987, 20143, 20394, 20472, 20525, 20577, 20654, 20741, 20966, 20991, 21189, 21279, 21376, 21453, 21582, 21661, 21733, 21904, 22006, 22189, 22360, 22386, 22619, 22867, 23099, 23197, 23283, 23335, 23578, 23638, 23703, 24003, 24117, 24178, 24444, 24613, 24993, 25112, 25120, 25246, 25392, 25411, 25479, 25992, 26186, 26498, 26779, 26846, 26994, 27119, 27217, 27258, 27320, 27447, 27500, 27597, 27726, 27834, 27910, 27916, 28217, 28326, 28504, 28562, 28744, 28799, 29001, 29067, 29379, 29626, 29671, 29769, 30019, 30182, 30342, 30530, 30565, 30600, 30776, 30956, 31051, 31739, 31898, 31954, 32053, 32078, 32141, 32294, 32379, 32536, 32671, 32821, 32952, 33038, 33079, 33676, 33741, 34040, 34112, 34178, 34277, 34453, 34537, 34582, 34724, 34805, 35003, 35018, 35066, 35158, 35347, 35475, 35573, 35588, 35824, 36180, 36305, 36367, 36515, 36598, 36659, 36760, 36870, 37047, 37151, 37173, 37288, 37483, 37709, 37745, 37799, 38078, 38088, 38361, 38506, 38608, 38736, 38767, 38836, 38960, 39085, 39151, 39312, 39391, 39459, 39497, 39711, 39797, 39846, 39910, 39967, 40048, 40069, 40182, 40237, 40306, 40445, 40514, 40721, 40790, 40859, 40960, 41058, 41146, 41219, 41284, 41329, 41418, 41547, 41569, 42018, 42332, 42486, 42555, 42666, 42733, 42771, 42847, 42922, 43002, 43024, 43765, 43911, 43956, 44028, 44118, 44136, 44312, 44385, 44474, 44480, 44512, 44573, 44704, 45020, 45142, 45382, 45469, 45569, 45661, 45791, 45936, 46076, 46152, 46224, 46308, 46336, 46413, 46521, 46580, 46604, 46936, 46949, 47071, 47138, 47537, 47645, 47919, 47975, 48122, 48283, 48377, 48688, 48991, 49149, 49267, 49292, 49396, 49405, 49446, 49621, 50026, 50156, 50179, 50419, 50522, 50690, 50909, 51052, 51092, 51161, 51381, 51427, 51498, 51678, 51798, 52195, 52327, 52556, 52599, 52655, 52717, 52799, 52846, 52963, 53041, 53085, 53105, 53320, 53395, 53598, 53681, 53897, 54011, 54046, 54119, 54189, 54260, 54380, 54468, 54544, 54641, 54683, 54755, 54787, 54888, 55009, 55259, 55319, 55352, 55506, 55570, 55616, 55687, 55888, 55964, 56192, 56256, 56406, 56701, 56764, 56893, 56948, 56999]"
1663145582,1,10,250,100,0.0009770834286907156,0.0010060649434037,0.17466720451795079,0.1754915200729607,0.4951505691285055,0.5054808215093743,0.16374663491602023,0.16401815595537933,0.49496610557348,0.5043704818950084,"[507, 758, 1046, 1275, 1418, 1458, 1565, 1680, 2033, 2201, 2373, 2528, 2618, 2640, 2807, 2927, 3207, 3262, 3425, 3464, 3840, 3990, 4262, 4614, 4791, 4938, 5275, 5347, 5530, 5669, 6018, 6229, 6273, 6660, 6944, 7361, 7395, 7785, 8486, 8696, 8752, 8863, 8987, 9109, 9191, 9315, 9428, 9570, 9732, 9916, 9960, 10069, 10224, 10316, 10947, 11046, 11469, 11909, 12055, 12127, 12272, 12548, 12585, 12720, 13081, 13196, 13448, 13541, 13706, 13982, 14458, 14820, 14935, 14942, 15065, 15171, 15314, 15365, 15595, 15835, 16175, 16429, 16599, 16618, 16803, 16857, 17001, 17063, 17504, 17820, 17859, 17990, 18093, 18274, 18482, 18591, 19171, 19570, 19846, 19987, 20143, 20394, 20462, 20525, 20660, 20904, 20966, 21147, 21419, 21582, 21661, 21845, 21904, 22197, 22364, 22386, 22604, 23005, 23128, 23311, 23335, 23560, 23638, 23994, 24028, 24205, 24435, 24444, 24708, 25114, 25411, 25992, 26170, 26348, 26779, 26964, 27187, 27265, 27447, 27609, 27726, 27834, 27886, 28155, 28217, 28326, 28504, 28744, 29013, 29377, 29407, 29626, 29671, 29937, 30055, 30182, 30342, 30527, 30541, 30578, 30777, 30960, 31292, 31424, 31739, 31898, 32078, 32294, 32536, 32677, 32821, 32952, 33079, 33618, 33931, 34060, 34178, 34379, 34537, 34604, 34724, 34805, 34972, 35041, 35158, 35454, 35573, 35588, 35768, 35824, 36072, 36180, 36305, 36359, 36518, 36760, 36864, 37157, 37288, 37474, 37641, 37745, 37843, 37991, 38091, 38506, 38722, 38840, 38960, 39096, 39151, 39344, 39396, 39493, 39711, 39813, 39910, 40049, 40069, 40182, 40237, 40514, 40687, 40859, 40965, 41058, 41219, 41284, 41322, 41354, 41547, 41569, 41722, 42018, 42332, 42555, 42666, 42779, 42922, 43024, 43487, 43749, 43911, 43956, 44105, 44132, 44385, 44480, 44652, 44747, 45142, 45382, 45519, 45661, 45787, 45936, 46076, 46145, 46224, 46336, 46413, 46521, 46758, 46936, 47137, 47385, 47537, 47645, 47919, 48063, 48203, 48377, 48696, 48991, 49146, 49396, 49446, 49621, 50026, 50157, 50211, 50441, 50690, 50799, 50909, 51052, 51092, 51381, 51427, 51555, 51678, 51830, 52195, 52314, 52556, 52599, 52717, 52826, 52846, 52963, 53073, 53105, 53315, 53608, 53885, 54046, 54122, 54189, 54380, 54492, 54610, 54787, 54904, 55009, 55259, 55352, 55505, 55566, 55616, 55760, 55929, 56211, 56496, 56632, 56677, 56825, 56948, 56999]"
1663145771,1,10,250,250,0.0018593730469136048,0.0018874905312283637,0.17466720451795079,0.1754915200729607,0.5260887103846221,0.5322272304751214,0.16374663491602023,0.16401815595537933,0.5238955915066477,0.5294959264528428,"[534, 1134, 1275, 1418, 1680, 2107, 2373, 2631, 2902, 3213, 3381, 3840, 4614, 5031, 5298, 5409, 5669, 6019, 6038, 6296, 6660, 6944, 7363, 7395, 7915, 8486, 8752, 9009, 9315, 9570, 9916, 9960, 10073, 10324, 10627, 11042, 12055, 12127, 12585, 13081, 13706, 14018, 14429, 14494, 14820, 15078, 15337, 15365, 15725, 16175, 16429, 16563, 16611, 16618, 16869, 17124, 17845, 18099, 18591, 18903, 19172, 19570, 19831, 20143, 20394, 20462, 20525, 20951, 21248, 21582, 21661, 21904, 22197, 22403, 22714, 23005, 23197, 23703, 23994, 24028, 24310, 24993, 25411, 25992, 26457, 26965, 26995, 27249, 27500, 27910, 28204, 28504, 28762, 29201, 29484, 29769, 30039, 30274, 30530, 30571, 30600, 30956, 31292, 31424, 31739, 32078, 32536, 32821, 33079, 33618, 33936, 34060, 34379, 34805, 35056, 35445, 35501, 35824, 36028, 36305, 36367, 36917, 37173, 37709, 37745, 37843, 38099, 38468, 38735, 38767, 39036, 39391, 39451, 39497, 39856, 40118, 40859, 41162, 41319, 41345, 41598, 41725, 42018, 42332, 42669, 42922, 43487, 43749, 43911, 43960, 44480, 44747, 45141, 45469, 45661, 45936, 46224, 47137, 47561, 47645, 47919, 48282, 48991, 49268, 49541, 50196, 50441, 50909, 51052, 51397, 51555, 51830, 52195, 52314, 52565, 52599, 52717, 52980, 53228, 53885, 54149, 54567, 54787, 55259, 55352, 55616, 55938, 56211, 56521]"
1663145961,1,10,500,50,0.0011551050945805697,0.0011783880826789297,0.17466720451795079,0.1754915200729607,0.5061823666625743,0.5136888998018135,0.16374663491602023,0.16401815595537933,0.5043967132964643,0.511115724549171,"[688, 789, 1078, 1403, 1449, 1548, 1669, 1901, 2118, 2584, 3171, 3699, 3962, 4099, 5284, 5354, 5779, 5844, 6012, 6287, 6534, 6604, 7011, 8041, 8748, 8872, 8932, 9032, 9279, 9441, 9630, 9760, 9846, 10068, 10709, 10837, 11131, 11204, 11226, 11283, 11374, 11511, 12164, 12952, 13198, 13275, 13424, 13488, 13602, 14041, 14472, 14841, 14938, 15013, 15060, 15351, 15424, 15509, 15615, 15956, 16076, 16203, 16387, 16413, 16503, 16595, 17298, 17500, 17730, 17848, 17933, 18341, 18565, 18942, 19048, 19190, 19311, 19407, 19460, 20012, 20081, 20262, 20410, 20508, 20777, 20999, 21075, 21261, 21286, 21590, 21700, 21923, 21931, 22091, 22154, 22346, 22362, 22578, 22653, 22878, 23022, 23099, 23286, 23810, 23926, 24025, 24144, 24313, 24367, 24529, 24650, 24670, 24862, 25073, 25178, 25230, 25329, 25374, 25401, 25661, 25729, 25782, 26454, 26538, 26676, 26866, 27026, 27320, 27606, 27906, 28233, 28469, 28534, 29021, 29144, 29369, 30402, 30545, 30610, 30846, 31027, 31085, 31196, 31210, 31408, 31538, 31614, 31706, 32104, 32302, 32829, 32990, 33329, 33417, 33856, 33940, 34024, 34310, 34428, 34762, 34885, 35291, 35379, 35480, 35528, 35724, 36006, 36074, 36142, 36343, 36447, 36510, 36646, 36794, 37007, 37198, 37444, 37538, 37739, 37811, 37850, 37982, 38040, 38100, 38178, 38338, 38735, 38810, 38999, 39169, 39257, 39429, 39524, 39622, 39767, 40237, 40342, 40559, 40718, 40960, 41038, 41340, 41417, 41466, 41663, 41798, 41972, 42630, 42767, 43233, 43717, 43940, 44111, 44228, 44369, 44397, 44436, 44455, 44474, 44675, 44730, 45027, 45233, 45414, 45773, 46192, 46456, 46641, 47308, 47407, 47657, 47691, 47817, 47895, 47924, 48012, 48213, 48402, 48521, 48646, 49006, 49195, 49295, 49307, 49517, 49646, 49696, 49872, 50006, 50276, 50407, 50734, 50737, 50921, 51101, 51317, 51391, 51612, 52048, 52164, 52300, 52740, 52910, 53112, 53570, 53645, 53861, 54109, 54193, 54683, 54742, 54805, 54942, 54970, 55138, 55340, 55703, 55826, 55880, 56007, 56236, 56442, 56542, 56621, 56695, 56768, 56993]"
1663146172,1,10,500,100,0.0012805207285840955,0.0013054229038694364,0.17466720451795079,0.1754915200729607,0.5101636354069838,0.517512320886753,0.16374663491602023,0.16401815595537933,0.5087304747380894,0.515216596175376,"[756, 1078, 1344, 1422, 1548, 1901, 2584, 2778, 2958, 3171, 3652, 3975, 4127, 4893, 5276, 5340, 5629, 5844, 6012, 6288, 6521, 6797, 7196, 7375, 7628, 8041, 8736, 8927, 9032, 9271, 9441, 9630, 9760, 10046, 10068, 10323, 10477, 10709, 10853, 11000, 11131, 12025, 12110, 12488, 12969, 13198, 13275, 13437, 13730, 14041, 14253, 14472, 14740, 15351, 15424, 15615, 15871, 16085, 16203, 16391, 16503, 16650, 16969, 17298, 17730, 17848, 17980, 18243, 18343, 18565, 18803, 18942, 19048, 19190, 19311, 19863, 20081, 20410, 20475, 20734, 20777, 21075, 21245, 21513, 21700, 21923, 22091, 22197, 22346, 22362, 22578, 22747, 22870, 23022, 23382, 23848, 24025, 24144, 24313, 24437, 24630, 24863, 25056, 25178, 25329, 25374, 25661, 25782, 26538, 26676, 26958, 27254, 27394, 27641, 27930, 28460, 29057, 29369, 29910, 30187, 30545, 30653, 30846, 31025, 31085, 31210, 31369, 31414, 31573, 31719, 31851, 31911, 32110, 32318, 32680, 32829, 32990, 33940, 34310, 34428, 34515, 34762, 34916, 35048, 35291, 35415, 35528, 35729, 36006, 36074, 36229, 36373, 36447, 36617, 36953, 37187, 37232, 37401, 37538, 37724, 37850, 37982, 38318, 38338, 38735, 38999, 39210, 39429, 39507, 39535, 39630, 39767, 39828, 40217, 40342, 40561, 40838, 41038, 41193, 41340, 41417, 41466, 41663, 41798, 41864, 41972, 42242, 42630, 42805, 43188, 43268, 43553, 43717, 43935, 43982, 44111, 44228, 44369, 44474, 44675, 44799, 44988, 45183, 45414, 45974, 46149, 46456, 46641, 46830, 47100, 47322, 47434, 47570, 47895, 47990, 48213, 48402, 48521, 48646, 49006, 49161, 49295, 49415, 49517, 49646, 49872, 50006, 50192, 50412, 50734, 50785, 50921, 51076, 51317, 51612, 52295, 52317, 52472, 52740, 53094, 53570, 53877, 54055, 54109, 54372, 54630, 54683, 54805, 54942, 55012, 55135, 55340, 55613, 55724, 55823, 55866, 56237, 56399, 56630, 56768, 56957, 56993]"
1663146383,1,10,500,250,0.002048268536886017,0.002065705786358617,0.17466720451795079,0.1754915200729607,0.5290176613992318,0.5328586211130014,0.16374663491602023,0.16401815595537933,0.5264730505132195,0.5295606325097885,"[756, 1061, 1344, 1422, 1648, 1901, 2390, 2675, 2958, 3211, 3652, 4127, 4788, 5284, 5354, 5701, 6012, 6534, 7011, 7411, 8102, 8736, 9178, 9441, 9694, 10046, 10153, 10323, 10588, 10853, 11204, 12023, 12110, 12488, 12969, 13244, 13437, 13730, 14041, 14548, 14740, 15245, 15592, 15761, 16203, 16503, 16712, 17314, 17848, 18225, 18341, 18565, 18942, 19407, 19863, 20262, 20549, 20734, 20777, 21075, 21513, 21923, 22197, 22870, 23132, 23564, 23848, 24144, 24650, 24958, 25178, 25554, 25782, 26454, 26676, 26958, 27129, 27394, 27641, 27930, 28233, 28704, 29057, 29463, 29910, 30187, 30545, 30846, 31109, 31369, 31414, 31851, 32110, 32579, 32864, 33329, 33999, 34310, 34942, 35291, 35777, 36030, 36347, 36447, 36617, 36953, 37226, 37400, 37538, 37811, 37850, 37982, 38318, 38338, 38735, 39056, 39429, 39524, 39619, 39734, 39828, 40604, 41038, 41340, 41417, 41469, 41864, 42212, 42630, 43188, 43717, 43970, 44455, 44474, 44889, 45183, 45689, 46033, 46456, 46960, 47322, 47635, 47895, 48213, 48521, 49006, 49517, 49872, 50192, 50412, 50734, 50992, 51315, 51337, 51612, 52048, 52300, 52428, 52740, 53084, 53570, 53730, 54109, 54437, 54697, 54860, 55135, 55466, 55724, 55823, 55866, 56236, 56993]"
1663146597,1,10,1000,50,0.0016559806306723891,0.0016803676764741008,0.17466720451795079,0.1754915200729607,0.5224231369591525,0.5283687321325219,0.16374663491602023,0.16401815595537933,0.5198005458214077,0.5251204140514959,"[1085, 1334, 1755, 1893, 1988, 2048, 2523, 2890, 3113, 3288, 3511, 4037, 4345, 4475, 4781, 5340, 5408, 5611, 5790, 5994, 6249, 6790, 7143, 7842, 8123, 8694, 8800, 8912, 9872, 9941, 10071, 10549, 10788, 10976, 11070, 11181, 11298, 11807, 11943, 12231, 12447, 12687, 13210, 13265, 14198, 14421, 14484, 14639, 14767, 14894, 15340, 15446, 15815, 16451, 16644, 16850, 17434, 17607, 17825, 18381, 18480, 18656, 18825, 18956, 19303, 19446, 19759, 20035, 20296, 20375, 20512, 20737, 21277, 21622, 22050, 22158, 22591, 23006, 23237, 23378, 23439, 23786, 23864, 23870, 24161, 24312, 25225, 25290, 25679, 25795, 25874, 26213, 26284, 26782, 27171, 27526, 27907, 28015, 29124, 29497, 30352, 30424, 30539, 31198, 31531, 32219, 32311, 32461, 32709, 33286, 33829, 34809, 34918, 35374, 35442, 35872, 35970, 36338, 36606, 36706, 37026, 37299, 37422, 37427, 37828, 37911, 37977, 38038, 38156, 38267, 38474, 38679, 38835, 38906, 38992, 39235, 39390, 39572, 39707, 39801, 39944, 40129, 40216, 40442, 40510, 40605, 41209, 41338, 41626, 42079, 42228, 42315, 42464, 42728, 43061, 43267, 43683, 43878, 44160, 45175, 45454, 46085, 46222, 46935, 47080, 47271, 47803, 47934, 48126, 48386, 48787, 49021, 49150, 49328, 49438, 49506, 49540, 49661, 49695, 49794, 50030, 50168, 50371, 51234, 51351, 51424, 51617, 51694, 52480, 52664, 52953, 53240, 53851, 53995, 54089, 54495, 54695, 54987, 55269, 55512, 55615, 55832, 55950, 55966, 56202, 56326, 56380, 56438, 56638, 56737]"
1663146844,1,10,1000,100,0.0017751407118849316,0.001799890655106959,0.17466720451795079,0.1754915200729607,0.5243699247592823,0.5300699791290316,0.16374663491602023,0.16401815595537933,0.5220237992728153,0.5270723537940926,"[1334, 1589, 1755, 1893, 2048, 2227, 2523, 3084, 3381, 3511, 3677, 4345, 4475, 4781, 5241, 5340, 5408, 5688, 5790, 5994, 6249, 6790, 7065, 7143, 8123, 8694, 8912, 9201, 9693, 9935, 9941, 10071, 10388, 10549, 10823, 10976, 11298, 11807, 11943, 12447, 12715, 13102, 13220, 13265, 14245, 14484, 14639, 14767, 14894, 15252, 15446, 15630, 15932, 16092, 16261, 16451, 16641, 17164, 17469, 17607, 17825, 17994, 18381, 18656, 18842, 18956, 19318, 19446, 20375, 20512, 20737, 20993, 21277, 21622, 22012, 22158, 22423, 22486, 22591, 23181, 23378, 23864, 24224, 24526, 24875, 25028, 25730, 25835, 25874, 26288, 26782, 26978, 27171, 27526, 27696, 28015, 28569, 28966, 29124, 29266, 29444, 29827, 30398, 30539, 31402, 31531, 32219, 32501, 32709, 33286, 33491, 33829, 33987, 34809, 34928, 35014, 35374, 35930, 36007, 36338, 36706, 36947, 37054, 37214, 37354, 37525, 37687, 37828, 38038, 38156, 38474, 38679, 38817, 38852, 38992, 39148, 39390, 39616, 39710, 39819, 39944, 40118, 40147, 40260, 40442, 40605, 40842, 41071, 41209, 41318, 41626, 41966, 42228, 42486, 42728, 43683, 43869, 43902, 44160, 44782, 44977, 45175, 45454, 45915, 46085, 46222, 46974, 47081, 47934, 48605, 49007, 49150, 49438, 49661, 49794, 50030, 50168, 50372, 50652, 51142, 51234, 51351, 51467, 51617, 52186, 52953, 53240, 53995, 54115, 54495, 54627, 55095, 55537, 55738, 56326, 56438, 56609]"
1663147092,1,10,1000,250,0.002305481047814262,0.0023263010975221312,0.17466720451795079,0.1754915200729607,0.5320167669291614,0.5360681901888911,0.16374663491602023,0.16401815595537933,0.5294507559691402,0.5328483980157414,"[1334, 1545, 1755, 1893, 2048, 2627, 3084, 3449, 3711, 4312, 4345, 4781, 5241, 5340, 5408, 5688, 5871, 6790, 7079, 7470, 8123, 8571, 8835, 9201, 9532, 9941, 10293, 10549, 10976, 11298, 11807, 12104, 12447, 12715, 13248, 13592, 13937, 14251, 14546, 14840, 15215, 15552, 15731, 15977, 16641, 17164, 17607, 18177, 18381, 18725, 18842, 19374, 19799, 20296, 20477, 20676, 20738, 20949, 21078, 21277, 21622, 22012, 22411, 22697, 23181, 23557, 23864, 24161, 24875, 25689, 25874, 26284, 26609, 26782, 27195, 27526, 27906, 28569, 28764, 29231, 29827, 30205, 30488, 30782, 31402, 31531, 31837, 32219, 32592, 33286, 33829, 34395, 34798, 35409, 35970, 36347, 36706, 36911, 37026, 37354, 37687, 38215, 38474, 38792, 39122, 39390, 39678, 39781, 39819, 39997, 40129, 40216, 40633, 41061, 41318, 42315, 42486, 42834, 43134, 43683, 43945, 44442, 44869, 45175, 45454, 45839, 45984, 46357, 46804, 46935, 47803, 48605, 49041, 49438, 49794, 50371, 50714, 51142, 51395, 51467, 51694, 52177, 52325, 52953, 53240, 53612, 53978, 54495, 55095, 55442, 55738, 56113, 56373, 56438, 56737]"
1663147343,1,20,100,50,0.00043522825314890886,0.00046005822205429927,0.17466720451795079,0.1754915200729607,0.44581440622972096,0.46210779241278915,0.16374663491602023,0.16401815595537933,0.4476447901512634,0.4624358127401844,"[250, 260, 356, 358, 418, 511, 550, 830, 856, 930, 972, 1075, 1174, 1249, 1267, 1308, 1351, 1415, 1469, 1523, 1593, 1645, 1753, 1800, 1861, 1939, 2217, 2292, 2347, 2481, 2577, 2668, 2750, 2880, 2969, 3030, 3165, 3206, 3314, 3361, 3491, 3648, 3698, 3871, 4064, 4286, 4400, 4490, 4567, 4588, 4786, 4846, 4872, 4976, 5030, 5097, 5276, 5334, 5434, 5519, 5587, 5796, 5802, 6010, 6111, 6211, 6275, 6323, 6376, 6487, 6550, 6563, 6612, 6942, 7018, 7104, 7226, 7346, 7420, 7446, 7568, 7687, 8196, 8310, 8391, 8447, 8579, 8633, 8678, 8793, 9171, 9247, 9270, 9335, 9420, 9592, 9710, 9793, 9919, 9954, 9975, 10125, 10270, 10334, 10493, 10619, 10692, 10790, 10879, 11302, 11329, 11391, 11569, 11628, 11977, 12061, 12095, 12167, 12412, 12478, 12608, 12803, 12899, 12988, 13075, 13192, 13298, 13350, 13425, 13556, 13722, 13753, 13882, 13957, 14070, 14212, 14240, 14296, 14339, 14396, 14780, 14876, 14906, 14938, 14994, 15024, 15087, 15177, 15227, 15314, 15363, 15445, 15556, 15803, 15871, 16000, 16009, 16424, 16468, 16609, 16622, 16707, 16743, 16820, 16925, 17123, 17216, 17298, 17356, 17490, 17499, 17580, 17799, 17845, 17935, 17950, 18015, 18078, 18156, 18210, 18277, 18332, 18415, 18476, 18669, 18899, 19145, 19248, 19304, 19519, 19640, 19817, 19960, 20098, 20192, 20260, 20332, 20362, 20397, 20455, 20570, 20608, 20617, 20690, 20732, 20754, 20826, 20847, 20911, 20934, 21069, 21145, 21201, 21452, 21559, 21607, 21650, 21691, 21754, 21979, 22047, 22334, 22370, 22439, 22477, 22547, 22717, 23004, 23185, 23310, 23403, 23492, 23553, 23665, 23833, 23846, 23942, 24055, 24144, 24193, 24285, 24346, 24400, 24449, 24536, 24567, 24628, 24726, 24834, 24919, 24962, 25075, 25138, 25164, 25220, 25238, 25291, 25379, 25541, 25611, 25749, 25842, 26033, 26079, 26200, 26253, 26313, 26396, 26472, 26662, 26789, 26846, 26969, 27108, 27191, 27297, 27320, 27418, 27472, 27529, 27613, 27699, 27815, 27883, 27982, 28069, 28354, 28427, 28521, 28706, 28776, 28901, 28976, 29066, 29127, 29227, 29375, 29403, 29496, 29528, 29654, 29729, 29855, 29870, 29986, 30055, 30164, 30324, 30391, 30438, 30447, 30526, 30574, 30626, 30650, 30810, 30931, 30979, 31032, 31098, 31194, 31204, 31351, 31606, 31693, 31702, 31799, 31804, 31883, 31928, 31985, 32070, 32213, 32280, 32288, 32331, 32386, 32455, 32499, 32607, 32666, 32747, 32782, 32855, 32929, 32940, 33041, 33175, 33253, 33431, 33462, 33574, 33601, 33670, 33713, 33770, 33772, 33869, 33888, 34029, 34090, 34284, 34439, 34506, 34632, 34733, 34800, 34863, 34872, 34914, 35015, 35227, 35317, 35326, 35344, 35438, 35509, 35579, 35674, 35708, 35785, 35877, 36146, 36155, 36271, 36344, 36404, 36509, 36607, 36619, 36742, 36858, 37018, 37137, 37187, 37256, 37394, 37509, 37694, 37756, 37823, 37841, 37911, 37933, 37948, 38006, 38090, 38219, 38319, 38436, 38478, 38603, 38760, 38815, 38859, 38893, 39037, 39115, 39162, 39257, 39314, 39347, 39370, 39526, 39698, 39813, 39841, 39939, 39964, 40045, 40134, 40152, 40216, 40295, 40405, 40481, 40603, 40720, 40816, 40864, 40931, 41077, 41111, 41180, 41222, 41277, 41343, 41397, 41509, 41513, 41572, 41655, 41675, 41774, 41837, 41944, 42008, 42047, 42260, 42583, 42647, 42653, 42728, 42773, 42851, 42874, 43103, 43262, 43405, 43454, 43572, 43591, 43708, 43713, 43802, 43809, 43971, 44046, 44111, 44231, 44288, 44423, 44478, 44519, 44575, 44774, 44939, 44992, 45191, 45292, 45354, 45414, 45511, 45623, 45639, 45786, 45968, 45987, 46024, 46069, 46086, 46185, 46234, 46291, 46447, 46525, 46608, 46650, 46725, 46937, 47120, 47129, 47147, 47195, 47232, 47387, 47495, 47553, 47747, 47806, 47915, 47986, 48053, 48073, 48119, 48133, 48220, 48297, 48370, 48529, 48697, 48782, 48820, 48917, 49053, 49107, 49132, 49182, 49211, 49277, 49299, 49416, 49669, 49776, 49814, 49876, 49958, 50046, 50169, 50411, 50491, 50515, 50580, 50695, 50758, 50800, 50903, 50984, 51129, 51258, 51324, 51506, 51587, 51611, 51682, 51687, 51740, 51742, 51815, 51858, 51875, 52056, 52196, 52413, 52557, 52751, 52834, 52909, 52964, 53045, 53085, 53109, 53175, 53201, 53310, 53458, 53539, 53676, 53748, 53968, 54038, 54108, 54230, 54318, 54359, 54417, 54482, 54558, 54653, 54761, 54768, 54837, 54936, 55128, 55230, 55401, 55444, 55479, 55654, 55727, 55849, 55886, 56004, 56118, 56280, 56289, 56364, 56371, 56527, 56727, 56751, 56849, 56998]"
